,count,mean,std,min,25%,50%,75%,max,99%,98%,95%,90%
7Richie,293.0,988.3720136518772,790.844572927671,9.0,449.0,751.0,1314.0,3510.0,3205.64,2967.24,2709.1999999999994,2250.6000000000004
7_zaTTvor_7,268.0,456.2313432835821,452.04201545102006,4.0,133.0,400.5,586.75,3430.0,2479.559999999993,1881.2799999999888,1073.3499999999995,841.7
7thUnknown,386.0,684.9222797927462,659.7939852975238,5.0,260.0,472.5,905.25,3474.0,3149.499999999999,2797.300000000002,2260.0,1477.5
8018,393.0,937.1246819338422,666.6443703787015,14.0,501.0,783.0,1228.0,3599.0,3110.639999999997,2828.119999999998,2336.2,1823.6000000000004
852473152046,146.0,1104.9931506849316,767.0954937323563,81.0,568.25,808.5,1441.25,3440.0,3291.9500000000003,3117.599999999999,2845.5,2289.5
88lkarol,298.0,745.8624161073825,618.5378255313072,1.0,327.25,614.5,969.5,3329.0,2862.349999999993,2562.8600000000006,2124.249999999999,1568.3000000000002
8apostol,399.0,1052.7243107769423,781.73848535356,1.0,529.0,820.0,1377.5,3539.0,3420.14,3228.2799999999997,2700.9999999999995,2272.4
8kuji777,402.0,393.3059701492537,410.66978126114464,4.0,144.75,274.5,504.75,2623.0,2263.71,1972.400000000006,1109.4499999999996,816.9000000000007
8lownina,536.0,677.6212686567164,631.311721686935,1.0,309.5,538.0,888.5,3598.0,3237.6499999999996,3083.2,1868.5,1351.5
8군ㅇ,136.0,987.7352941176471,783.0357754969189,5.0,395.5,750.5,1271.25,3419.0,3221.100000000002,2975.2,2710.75,2282.0
90deathgrip91,582.0,1166.4982817869416,701.9211079754499,301.0,625.75,984.5,1534.25,3469.0,3210.519999999994,3046.3199999999997,2716.399999999999,2192.999999999999
92089208,530.0,996.954716981132,682.8067933450864,3.0,540.0,799.5,1260.0,3564.0,3420.0,3120.539999999998,2514.95,1875.8000000000018
